algoritmo,nproc,quantum,media_tme,desvio_padrao
fifo,10,10,4495.460000,1243.317482
fifo,10,20,2927.790000,799.603576
fifo,10,30,2083.556666,398.292445
fifo,20,10,12031.451666,2387.670561
fifo,20,20,5362.495000,1398.341777
fifo,20,30,3763.508333,1512.822577
fifo,30,10,18043.958888,2397.578724
fifo,30,20,10304.006666,2155.153720
fifo,30,30,6937.414444,2016.660069
fifo,40,10,25826.810833,4016.742813
fifo,40,20,13618.537500,2819.428986
fifo,40,30,9696.290000,1801.002919
fifo,50,10,32129.560000,3947.903330
fifo,50,20,17061.182666,2907.328265
fifo,50,30,12424.392000,2052.625990
fifo,60,10,39627.811666,5013.817789
fifo,60,20,22025.436666,3880.242227
fifo,60,30,15120.342222,2629.174784
fifo,70,10,45840.352381,4919.324878
fifo,70,20,24803.257142,3074.450430
fifo,70,30,17435.486666,2617.529362
fifo,80,10,53380.328750,6834.612974
fifo,80,20,27719.418333,3313.587529
fifo,80,30,20170.248750,2804.963379
fifo,90,10,59694.996296,4906.696685
fifo,90,20,31373.020370,3219.296281
fifo,90,30,22407.024074,3874.386166
fifo,100,10,67885.660333,7121.358153
fifo,100,20,29922.526333,7783.514270
fifo,100,30,23924.194000,3901.037865
sjf,10,10,2860.663333,678.092948
sjf,10,20,1654.676666,446.128894
sjf,10,30,1245.450000,267.374613
sjf,20,10,5113.273333,1632.495795
sjf,20,20,3149.796666,754.842843
sjf,20,30,2832.363333,560.327006
sjf,30,10,9599.824444,1734.967003
sjf,30,20,5960.692222,1419.251666
sjf,30,30,4512.036666,676.252721
sjf,40,10,12069.140000,2751.764974
sjf,40,20,6805.081666,1672.377270
sjf,40,30,5270.995000,1247.741377
sjf,50,10,13235.438000,2791.679522
sjf,50,20,9678.515333,1705.021679
sjf,50,30,8198.607333,1368.560770
sjf,60,10,20558.967222,3052.412326
sjf,60,20,11355.873333,1657.291272
sjf,60,30,9073.659444,1326.029996
sjf,70,10,24123.512857,3584.236176
sjf,70,20,9613.515238,1980.803421
sjf,70,30,8576.344761,2450.202709
sjf,80,10,21612.607500,6152.312556
